Title,Publisher,TV Format,MD5,Bankswitch Type,7800 Detected,7800 works,7800 plays through,notes
G.I. Joe - Cobra Strike,Parker Bros,NTSC,c1fdd44efda916414be3527a47752c75,4K,,,,
River Raid,Galaga Games,NTSC,01b09872dcd9556427761f0ed64aa42a,4K,,,,
Galaxian,Atari,NTSC,211774f4c5739042618be8ff67351177,F8,,,,
Hunt & Score - Memory Match,Atari,NTSC,102672bbd7e25cd79f4384dd7214c32b,2K,,,,
Gangster Alley,Spectravision,NTSC,20edcc3aa6c189259fa7e2f044a99c49,4K,,,,
Garfield,Atari ,NTSC,dc13df8420ec69841a7c51e41b9fbba5,F6,,,,
Gas Hog,Spectravideo,NTSC,728152f5ae6fdd0d3a9b88709bee6c7a,4K,,,,
Gauntlet,Answer Software,NTSC,e64a8008812327853877a37befeb6465,4K,,,,
Ghost Manor,Xonox,NTSC,0eecb5f58f55de9db4eedb3a0f6b74a8,4K,,,,
Ghost Manor,Xonox,NTSC,2bee7f226d506c217163bad4ab1768c0,F8,,,,
Ghostbusters II,Salu ,PAL,c2b5c50ccb59816867036d7cf730bf75,F6,,,,
Ghostbusters,Activision,NTSC,e314b42761cd13c03def744b4afc7b1b,F8,,,,
Ghost Manor,Xonox,NTSC,2bee7f226d506c217163bad4ab1768c0,F8,,,,
Gigolo,PlayAround,NTSC,1c8c42d1aee5010b30e7f1992d69216e,4K,,,,
Glacier Patrol,Telegames,NTSC,5e0c37f534ab5ccc4661768e2ddf0162,4K,,,,
Glib,Selchow & Righter,NTSC,2d9e5d8d083b6367eda880e80dfdfaeb,4K,,,,
GoFish_NTSC,,NTSC,787a2faebadc670a887a0e2483b8f034,F8,,,,
Golf,Atari,NTSC,2e663eaa0d6b723b645e643750b942fd,2K,,,,
Golf,Atari,NTSC,f542b5d0193a3959b54f3c4c803ba242,2K,,,,
Golf,Atari ,PAL,95351b46fa9c45471d852d28b9b4e00b,2K,,,,
Golf,Atari,NTSC,2e663eaa0d6b723b645e643750b942fd,2K,,,,
Gopher,U.S. Games,NTSC,c16c79aad6272baffb8aae9a7fff0864,4K,,,,
Gorf,CBS Electronics,NTSC,81b3bf17cf01039d311b4cd738ae608e,4K,,,,
Grand Prix,Activision,NTSC,de4436eaa41e5d7b7609512632b90078,F6,,,,
Gravitar,Atari,NTSC,8ac18076d01a6b63acf6e2cab4968940,F8,,,,
Asteroid Fire,Home Vision ,PAL,18f299edb5ba709a64c80c8c9cec24f2,4K,,,,
Gremlins,Atari,NTSC,01cb3e8dfab7203a9c62ba3b94b4e59f,F8,,,,
Grover's Music Maker,Atari ,NTSC,4ac9f40ddfcf194bd8732a75b3f2f214,F8,,,,
Guardian,Apollo,NTSC,7ab2f190d4e59e8742e76a6e870b567e,4K,,,,
Gunfight 2600,MP,NTSC,f750b5d613796963acecab1690f554ae,4K,,,,
Gyruss,Parker Bros,NTSC,b311ab95e85bc0162308390728a7361d,E0,E0,,,
H.E.R.O.,Activision,NTSC,fca4a5be1251927027f2c24774a02160,F8,,,,
Halloween,Wizard Video Games,NTSC,30516cfbaa1bc3b5335ee53ad811f17a,4K,,,,
Hangman,Atari,NTSC,f16c709df0a6c52f47ff52b9d95b7d8d,4K,,,,
Harbor Escape,Panda,NTSC,b9232c1de494875efe1858fc8390616d,4K,,,,
Haunted House,Atari,NTSC,f0a6e99f5875891246c3dbecbf2d2cea,4K,,,,
Hole Hunter,Video Game Cartridge,NTSC,3d48b8b586a09bdbf49f1a016bf4d29a,4K,,,,
Holey Moley,Atari ,NTSC,c52d9bbdc5530e1ef8e8ba7be692b01e,F8,,,,
Home Run,Atari,NTSC,0bfabf1e98bdb180643f35f2165995d0,2K,,,,
Home Run,Atari,NTSC,9f901509f0474bf9760e6ebd80e629cd,2K,,,,
Homerun,Atari ,PAL,ca7aaebd861a9ef47967d31c5a6c4555,2K,,,,
Human Cannonball,Atari ,PAL,ad42e3ca3144e2159e26be123471bffc,2K,,,,
Human Cannonball,Atari,NTSC,7972e5101fa548b952d852db24ad6060,2K,,,,
Human Cannonball,Atari,NTSC,ffe51989ba6da2c6ae5a12d277862e16,2K,,,,
I Want My Mommy,ZiMAG,NTSC,f6a282374441012b01714e19699fc62a,4K,,,,
IQ 180,Unknown,NTSC,4b9581c3100a1ef05eac1535d25385aa,4K,,,,
Ice Hockey,Activision,NTSC,a4c08c4994eb9d24fb78be1793e82e26,4K,,,,
Ikari Warriors,Atari ,PAL,9813b9e4b8a6fd919c86a40c6bda8c93,F6,,,,
Imagic Selector ROM,Imagic,NTSC,c4bc8c2e130d76346ebf8eb544991b46,4K,,,,
Immies & Aggies,CCE,NTSC,9b21d8fc78cc4308990d99a4d906ec52,4K,,,,
Pac-Kong,Rainbow Vision ,PAL,d223bc6f13358642f02ddacfaf4a90c9,4K,,,,
Indy 500,Atari,NTSC,08188785e2b8300983529946dbeff4d2,2K,,,,
Infiltrate,Apollo,NTSC,afe88aae81d99e0947c0cfb687b16251,4K,,,,
International Soccer,M Network,NTSC,b4030c38a720dd84b84178b6ce1fc749,4K,,,,
INV+,,NTSC,9ea8ed9dec03082973244a080941e58a,4K,,,,
Invaders by Erik Mooney,PD,NTSC,4868a81e1b6031ed66ecd60547e6ec85,4K,,,,
IQ 180,Unknown,NTSC,4b9581c3100a1ef05eac1535d25385aa,4K,,,,
Ixion,Sega ,NTSC,2f0546c4d238551c7d64d884b618100c,F8,,,,
James Bond 007,Parker Bros,NTSC,e51030251e440cffaab1ac63438b44ae,E0,E0,,,
Jammed,XYPE ,NTSC,04dfb4acac1d0909e4c360fd2ac04480,4K,,,,
Jaw Breaker,CCE,NTSC,58a82e1da64a692fd727c25faef2ecc9,4K,,,,
Star Wars - Jedi Arena,Parker Bros,NTSC,c9f6e521a49a2d15dac56b6ddb3fb4c7,4K,,,,
Journey Escape,Data Age,NTSC,718ae62c70af4e5fd8e932fee216948a,4K,,,,
Joust,Atari,NTSC,3276c777cbe97cdd2b4a63ffc16b7151,F8,,,,
JoustPong,,NTSC,ec40d4b995a795650cf5979726da67df,4K,,,,
Jr. Pac-Man,Atari,NTSC,36c29ceee2c151b23a1ad7aa04bd529d,F6SC,,,,
Jungle Fever,PlayAround,NTSC,2cccc079c15e9af94246f867ffc7e9bf,4K,,,,
Jungle Hunt,Atari,NTSC,2bb9f4686f7e08c5fcc69ec1a1c66fe7,F8,,,,
Kaboom!,Activision,NTSC,5428cdfada281c569c74c7308c7f2c26,2K,,,,
Kaboom!,Activision,NTSC,af6ab88d3d7c7417db2b3b3c70b0da0a,2K,,,,
Kamikaze Saucers,Syncro ,NTSC,7b43c32e3d4ff5932f39afcb4c551627,4K,,,,
Kangaroo,Atari,NTSC,4326edb70ff20d0ee5ba58fa5cb09d60,F8,,,,
Karate,Ultravision,NTSC,cedbd67d1ff321c996051eec843f8716,4K,,,,
Keystone Kapers,Activision,NTSC,be929419902e21bd7830a7a7d746195d,4K,,,,
King Kong,Tigervision ,PAL,0b1056f1091cfdc5eb0e2301f47ac6c3,4K,,,,
Klax,Atari ,PAL,eed9eaf1a0b6a2b9bc4c8032cb43e3fb,F6SC,,,,
Knight on the Town,PlayAround,NTSC,7fcd1766de75c614a3ccc31b25dd5b7a,4K,,,,
Kool-Aid Man,M Network,NTSC,534e23210dd1993c828d944c6ac4d9fb,4K,,,,
Krull,Atari,NTSC,4baada22435320d185c95b7dd2bcdb24,F8,,,,
Kung-Fu Master,Activision,NTSC,5b92a93b23523ff16e2789b820e2a4c5,F8,,,,
Kung Fu,BitCorp ,PAL,6805734a0b7bcc8925d9305b071bf147,4K,,,,
labyrinth,,NTSC,925dda3c61b81eeb7bd8467b6e99dedc,AR,,,,
Lady in Wading,PlayAround,NTSC,95a89d1bf767d7cc9d0d5093d579ba61,4K,,,,
Laser Blast,Activision,NTSC,931b91a8ea2d39fe4dca1a23832b591a,2K,,,,
Laser Blast,Activision,NTSC,d5e27051512c1e7445a9bf91501bda09,2K,,,,
Laser Blast,Atari ,PAL,0d1b3abf681a2fc9a6aa31a9b0e8b445,2K,,,,
Laser Gates,Imagic,NTSC,1fa58679d4a39052bd9db059e8cda4ad,4K,,,,
Laser Gates,Imagic,NTSC,1fa58679d4a39052bd9db059e8cda4ad,4K,,,,
Laser Volley,Zellers,NTSC,48287a9323a0ae6ab15e671ac2a87598,4K,,,,
Lochjaw,Apollo,NTSC,86128001e69ab049937f265911ce7e8a,4K,,,,
Lock 'n' Chase,M Network,NTSC,71464c54da46adae9447926fdbfc1abe,4K,,,,
London Blitz,Avalon Hill,NTSC,b4e2fd27d3180f0f4eb1065afc0d7fc9,4K,,,,
Looping,Coleco ,NTSC,5babe0cad3ec99d76b0aa1d36a695d2f,F8,,,,
Lord of the Rings,Parker Bros ,NTSC,e24d7d879281ffec0641e9c3f52e505a,E0,E0,,,
Lost Luggage,Apollo,NTSC,7c00e7a205d3fda98eb20da7c9c50a55,4K,,,,
M.A.D.,U.S. Games,NTSC,393e41ca8bdd35b52bf6256a968a9b89,4K,,,,
M.A.S.H,,NTSC,835759ff95c2cdc2324d7c1e7c5fa237,4K,,,,
MagiCard,CommaVid,NTSC,cddabfd68363a76cd30bee4e8094c646,CV,,,,
Malagai,Answer Software,NTSC,ccb5fa954fb76f09caae9a8c66462190,4K,,,,
Mangia',Spectravideo,NTSC,54a1c1255ed45eb8f71414dadb1cf669,4K,,,,
Marauder,Tigervision,NTSC,13895ef15610af0d0f89d588f376b3fe,4K,,,,
Marine Wars,Konami,NTSC,b00e8217633e870bf39d948662a52aac,4K,,,,
Marineflieger,Quelle ,PAL,1b8d35d93697450ea26ebf7ff17bd4d1,4K,,,,
Mario Bros.,Atari,NTSC,e908611d99890733be31733a979c62d8,F8,,,,
Master Builder,Spectravideo,NTSC,ae4be3a36b285c1a1dff202157e2155d,4K,,,,
Masters of the Universe,M Network,NTSC,3b76242691730b2dd22ec0ceab351bc6,E7,E7,,,
Math Gran Prix,Atari,NTSC,470878b9917ea0348d64b5750af149aa,4K,,,,
Maze Craze,Atari,PAL,f825c538481f9a7a46d1e9bc06200aaf,4K,,,,
McDonald's,Parker Bros ,NTSC,35b43b54e83403bb3d71f519739a9549,4K,,,,
mc_ntsc_7_26_3,,NTSC,09a03e0c85e667695bcd6c6394e47e5f,F4,,,,
mc_pal_4_28_3,,PAL,dcd5057de94c86ff81db76cb4a146439,F4,,,,
Mega Force,,NTSC,daeb54957875c50198a7e616f9cc8144,4K,,,,
MegaMania,Activision,NTSC,318a9d6dda791268df92d72679914ac3,4K,,,,
Meltdown,,NTSC,96e798995af6ed9d8601166d4350f276,4K,,,,
War 2000,Home Vision ,PAL,6522717cfd75d1dba252cbde76992090,4K,,,,
Midnight Magic,Atari,NTSC,f1554569321dc933c87981cf5c239c43,F6,,,,
Millipede,Atari,NTSC,3c57748c8286cf9e821ecd064f21aaa9,F6SC,,,,
Mind Maze,Atari ,NTSC,0e224ea74310da4e7e2103400eb1b4bf,F8,,,,
Miner 2049er,Tigervision,NTSC,fa0570561aa80896f0ead05c46351389,3F,,,,
Mines of Minos,CommaVid,NTSC,4543b7691914dfd69c3755a5287a95e1,4K,,,,
Minesweeper,Soren Gust PD,PAL,ac5f78bae0638cf3f2a0c8d07eb4df69,4K,,,,
Miniaturer Golf,Atari ,PAL,73521c6b9fed6a243d9b7b161a0fb793,2K,,,,
Miniature Golf,Atari,NTSC,df62a658496ac98a3aa4a6ee5719c251,2K,,,,
Miniature Golf,Atari,NTSC,384db97670817103dd8c0bbdef132445,2K,,,,
Miner 2049er Volume II,Tigervision ,PAL,468f2dec984f3d4114ea84f05edf82b6,3F,,,,
Miniature Golf,Atari,NTSC,df62a658496ac98a3aa4a6ee5719c251,2K,,,,
Missile Command,Atari,NTSC,3a2e2d0c6892aa14544083dfb7762782,4K,,,,
Missile Control,Video Gems ,PAL,cb24210dc86d92df97b38cf2a51782da,4K,,,,
"Mission 3,000 A.D.",BitCorp ,PAL,6efe876168e2d45d4719b6a61355e5fe,4K,,,,
Miss Piggy's Wedding,Atari ,NTSC,4181087389a79c7f59611fb51c263137,F8,,,,
Mogul Maniac,Amiga,NTSC,7af40c1485ce9f29b1a7b069a2eb04a7,4K,,,,
Mondo Pong V2,Piero Cavina PD,NTSC,1f60e48ad98b659a05ce0c1a8e999ad9,4K,,,,
Monster Cise,Atari ,NTSC,6913c90002636c1487538d4004f7cac2,F8,,,,
Montezuma's Revenge,Parker Bros,NTSC,3347a6dd59049b15a38394aa2dafa585,E0,E0,,,
Moon Patrol,Atari,NTSC,515046e3061b7b18aa3a551c3ae12673,F8,,,,
Moonsweeper,Imagic,NTSC,203abb713c00b0884206dcc656caa48f,F8,,,,
Moto Laser,Star Game,NTSC,eb503cc64c3560cd78b7051188b7ba56,4K,,,,
Motocross,Joystik,NTSC,5641c0ff707630d2dd829b26a9f2e98f,F8,,,,
Motocross Racer,Xonox,NTSC,de0173ed6be9de6fd049803811e5f1a8,F8,,,,
Motocross,Suntek ,PAL,f5a2f6efa33a3e5541bc680e9dc31d5b,4K,,,,
MotoRodeo,Atari ,PAL,b1e2d5dc1353af6d56cd2fe7cfe75254,F6,,,,
Mouse Trap,Coleco,NTSC,5678ebaa09ca3b699516dba4671643ed,4K,,,,
Mr. Do!'s Castle,Parker Bros,NTSC,b7a7e34e304e4b7bc565ec01ba33ea27,E0,E0,,,
Mr. Do!,Coleco,NTSC,0164f26f6b38a34208cd4a2d0212afc3,F8,,,,
Mr. Postman,Unknown,NTSC,f0daaa966199ef2b49403e9a29d12c50,4K,,,,
Ms. Pac-Man,Atari,NTSC,87e79cd41ce136fd4f72cc6e2c161bee,F8,,,,
Mountain King,CBS Electronics,NTSC,7e51a58de2c0db7d33715f518893b0db,FA,,,,
Multi-Sprite Demo 2,Piero Cavina PD,NTSC,42ae81ae8ac51e5c238639f9f77d91ae,AR,,,,
"Music Machine, The",Sparrow,NTSC,65b106eba3e45f3dab72ea907f39f8b4,4K,,,,
My Golf,HES ,PAL,dfad86dd85a11c80259f3ddb6151f48f,F8,,,,
Name This Game,U.S. Games,NTSC,36306070f0c90a72461551a7a4f3a209,4K,,,,
"Challenge of.... Nexar, The",Spectravision,NTSC,5d799bfa9e1e7b6224877162accada0d,4K,,,,
Stunt Man,Panda,NTSC,ed0ab909cf7b30aff6fc28c3a4660b8e,4K,,,,
Night Driver,Atari,NTSC,f48022230bb774a7f22184b48a3385af,2K,,,,
Night Stalker,Telegames ,PAL,2783006ee6519f15cbc96adae031c9a9,4K,,,,
Stunt Man,Panda,NTSC,ed0ab909cf7b30aff6fc28c3a4660b8e,4K,,,,
No Escape!,Imagic,NTSC,b6d52a0cf53ad4216feb04147301f87d,4K,,,,
Nuts,Unknown,NTSC,de7a64108074098ba333cc0c70eef18a,4K,,,,
Obelix,Atari ,PAL,669840b0411bfbab5c05b786947d55d4,F8,,,,
Ocean City,Funvision,NTSC,4cabc895ea546022c2ecaa5129036634,4K,,,,
Name This Game,U.S. Games,NTSC,36306070f0c90a72461551a7a4f3a209,4K,,,,
Off Your Rocker,Amiga ,NTSC,b6166f15720fdf192932f1f76df5b65d,4K,,,,
Off the Wall,Atari,NTSC,98f63949e656ff309cefa672146dc1b8,F6SC,SC,,,
Oink!,Activision,NTSC,c9c25fc536de9a7cdc5b9a916c459110,4K,,,,
Okie Dokie,PD,NTSC,cca33ae30a58f39e3fc5d80f94dc0362,2K,,,,
Omega Race,CBS Electronics,NTSC,9947f1ebabb56fd075a96c6d37351efa,FA,,,,
Open Sesame,Goliath ,PAL,28d5df3ed036ed63d33a31d0d8b85c47,4K,,,,
Oscar's Trash Race,Atari,NTSC,fa1b060fd8e0bca0c2a097dcffce93d3,F8,,,,
Reversi,Atari ,PAL,6468d744be9984f2a39ca9285443a2b2,2K,,,,
Out of Control,Avalon Hill,NTSC,f97dee1aa2629911f30f225ca31789d4,4K,,,,
Star Ship,Atari,NTSC,e363e467f605537f3777ad33e74e113a,2K,,,,
Outlaw,Atari ,PAL,2e3728f3086dc3e71047ffd6b2d9f015,2K,,,,
Outlaw,Atari,NTSC,f060826626aac9e0d8cda0282f4b7fc3,2K,,,,
Oystron,Piero Cavina PD,NTSC,91f0a708eeb93c133e9672ad2c8e0429,4K,,,,
Pac Kong,Unknown,NTSC,936ef1d6f8a57b9ff575dc195ee36b80,4K,,,,
Ms. Pac-Man,Hack,NTSC,aeb104f1e7b166bc0cbaca0a968fde51,F8,,,,
Pac-Man,Atari,NTSC,6e372f076fb9586aff416144f5cfe1cb,4K,,,,
Pac-Space,Pac-Man Hack,NTSC,c569e57dca93d3bee115a49923057fd7,4K,,,,
Panda Chase,Unknown ,PAL,f8582bc6ca7046adb8e18164e8cecdbc,4K,,,,
Parachute,Home Vision ,PAL,714e13c08508ee9a7785ceac908ae831,4K,,,,
Peek-A-Boo,Atari ,NTSC,e40a818dac4dd851f3b4aafbe2f1e0c1,4K,,,,
Pele's Soccer,Atari ,PAL,7a09299f473105ae1ef3ad6f9f2cd807,4K,,,,
Pele's Soccer,Atari,NTSC,ace319dc4f76548659876741a6690d57,4K,,,,
Pele's Soccer,Atari,NTSC,ace319dc4f76548659876741a6690d57,4K,,,,
Pengo,Atari,NTSC,04014d563b094e79ac8974366f616308,F8,,,,
Pete Rose Baseball,Absolute,NTSC,09388bf390cd9a86dc0849697b96c7dc,F6,,,,
Phantom Tank,BitCorp ,PAL,6b1fc959e28bd71aed7b89014574bdc2,4K,,,,
Phantom Tank,BitCorp ,PAL,6b1fc959e28bd71aed7b89014574bdc2,4K,,,,
Pharaoh's Curse,Unknown,NTSC,62f74a2736841191135514422b20382d,4K,,,,
Philly Flasher,PlayAround,NTSC,ca54de69f7cdf4d7996e86f347129892,4K,,,,
Phoenix,Atari,NTSC,7e52a95074a66640fcfde124fffd491a,F8,,,,
Pick 'n' Pile,Salu ,PAL,da79aad11572c80a96e261e4ac6392d0,F6,,,,
Pick Up,,NTSC,1d4e0a034ad1275bc4d75165ae236105,4K,,,,
Picnic,U.S. Games,NTSC,17c0a63f9a680e7a61beba81692d9297,4K,,,,
Piece o' Cake,U.S. Games,NTSC,d3423d7600879174c038f53e5ebbf9d3,4K,,,,
Pigs in Space,Atari,NTSC,8e4fa8c6ad8d8dce0db8c991c166cdaa,F8,,,,
Pitfall II,Activision,NTSC,6d842c96d5a01967be9680080dd5be54,DPC,detected? doesn't work right,,,
Pitfall!,Activision ,NTSC,aad91be0bf78d33d29758876d999848a,4K,,,,
Pitfall!,No Walls Hack,NTSC,e42b937c30c617241ca9e01e4510c3f6,4K,,,,
Pitfall!,Activision,NTSC,3e90cf23106f2e08b2781e41299de556,4K,,,,
Pizza Chef,CCE,NTSC,82efe7984783e23a7c55266a5125c68e,4K,,,,
Planet Patrol,Spectravision,NTSC,043f165f384fbea3ea89393597951512,4K,,,,
Planet of the Apes,,NTSC,9efb4e1a15a6cdd286e4bcd7cd94b7b8,4K,,,,
Plaque Attack,Activision,NTSC,da4e3396aa2db3bd667f83a1cb9e4a36,4K,,,,
Pleiades,UA Limited ,NTSC,8bbfd951c89cc09c148bfabdefa08bec,UA,,,,
Poker Squares,B. Watson,NTSC,8c136e97c0a4af66da4a249561ed17db,4K,,,,
Polaris,Tigervision ,PAL,203049f4d8290bb4521cc4402415e737,3F,,,,
Pole Position,Atari,NTSC,5f39353f7c6925779b0169a87ff86f1e,F8,,,,
Polo,Atari ,NTSC,ee28424af389a7f3672182009472500c,2K,,,,
Pompeii,Apollo ,NTSC,a83b070b485cf1fb4d5a48da153fdf1a,4K,,,,
Pooyan,Konami,NTSC,4799a40b6e889370b7ee55c17ba65141,4K,,,,
Popeye,Parker Bros,NTSC,c7f13ef38f61ee2367ada94fdcc6d206,E0,E0,,,
Porky's,,NTSC,f93d7fee92717e161e6763a88a293ffa,F8,,,,
John K Harvey's Equalizer, PD,NTSC,30997031b668e37168d4d0e299ccc46f,4K,,,,
Pressure Cooker,Activision,NTSC,97d079315c09796ff6d95a06e4b70171,F8,,,,
Private Eye,Activision,NTSC,ef3a4f64b6494ba770862768caf04b86,F8,,,,
Maze Craze,Unknown,PAL,8108ad2679bd055afec0a35a1dca46a4,4K,,,,
Pyramid War,Rainbow Vision ,PAL,37fd7fa52d358f66984948999f1213c5,4K,,,,
Q-bert's Qubes,Parker Bros,NTSC,517592e6e0c71731019c0cebc2ce044f,E0,E0,one works one isn't detected,,
Q-bert,Atari,NTSC,484b0076816a104875e00467d431c2d2,4K,,,,
Qb,Retroactive ,NTSC,ac53b83e1b57a601eeae9d3ce1b4a458,4K,,,,
Qb,Retroactive ,PAL,9281eccd7f6ef4b3ebdcfd2204c9763a,4K,,,,
Qb,Retroactive Stella,NTSC,34e37eaffc0d34e05e40ed883f848b40,4K,,,,
Quadrun,Atari ,NTSC,392d34c0498075dd58df0ce7cd491ea2,F8,,,,
Quest for Quintana Roo,Telegames,NTSC,a0675883f9b09a3595ddd66a6f5d3498,F8,,,,
Quick Step!,Imagic,NTSC,7eba20c2291a982214cc7cbe8d0b47cd,4K,,,,
Rabbit Transit,Atari ,NTSC,2e5b184da8a27c4d362b5a81f0b4a68f,F8,8 - FA?,NO,why is it bigger than 8k?,
Racquetball,Apollo,NTSC,a20d931a8fddcd6f6116ed21ff5c4832,4K,,,,
Radar Lock,Atari,NTSC,baf4ce885aa281fd31711da9b9795485,F6SC,SC,,,
Raft Rider,U.S. Games,NTSC,92a1a605b7ad56d863a56373a866761b,4K,,,,
Raiders of the Lost Ark,Atari,NTSC,f724d3dd2471ed4cf5f191dbb724b69f,F8,,,,
Rainbow Invaders,,NTSC,cb96b0cf90ab7777a2f6f05e8ad3f694,4K,,,,
Ram It,Telesys,NTSC,7096a198531d3f16a99d518ac0d7519a,4K,,,,
Rampage!,Activision,NTSC,5e1b4629426f4992cf3b2905a696e1a7,F6,,,,
Reactor,Parker Bros,NTSC,9f8fad4badcd7be61bbd2bcaeef3c58f,4K,,,,
RealSports Baseball,Atari,NTSC,eb634650c3912132092b7aee540bbce3,F8,,,,
RealSports Boxing,Atari,NTSC,3177cc5c04c1a4080a927dfa4099482b,F6,,,,
RealSports Football,Atari,NTSC,7ad257833190bc60277c1ca475057051,F8,,,,
RealSports Soccer,Atari,NTSC,08f853e8e01e711919e734d85349220d,F8,,,,
RealSports Tennis,Atari ,PAL,c7eab66576696e11e3c11ffff92e13cc,F8,,,,
RealSports Volleyball,Atari,NTSC,aed0b7bd64cc384f85fdea33e28daf3b,4K,,,,
Rescue Bira Bira,Chris Cracknell,NTSC,8a9d874a38608964f33ec0c35cab618d,4K,,,,
Rescue Terra I,VentureVision,NTSC,60a61da9b2f43dd7e13a5093ec41a53d,4K,,,,
Resgate Espacial,CCE,NTSC,42249ec8043a9a0203dde0b5bb46d8c4,F8,,,,
Revenge of the Beefsteak Tomatoes,,NTSC,4f64d6d0694d9b7a1ed7b0cb0b83e759,4K,,,,
Revenge of the Apes,Hack,NTSC,0b01909ba84512fdaf224d3c3fd0cf8d,F8,,,,
Riddle of the Sphinx,Imagic,NTSC,a995b6cbdb1f0433abc74050808590e6,4K,,,,
River Patrol,Tigervision,NTSC,31512cdfadfd82bfb6f196e3b0fd83cd,3F,,,,
River Raid,Activision,NTSC,291cc37604bc899e8e065c30153fc4b9,F6,,,,
Persian Gulf War,Funvision,NTSC,6ce2110ac5dd89ab398d9452891752ab,4K,,,,
River Raid II,Activision,NTSC,ab56f1b2542a05bebc4fbccfc4803a38,F6,,,,
Road Runner,,NTSC,2bd00beefdb424fa39931a75e890695d,F6,,,,
Robin Hood,Xonox,NTSC,72a46e0c21f825518b7261c267ab886e,F8,,,,
Robin Hood,Xonox,NTSC,72a46e0c21f825518b7261c267ab886e,F8,,,,
Space Robot,Dimax - Sinmax ,PAL,1bef389e3dd2d4ca4f2f60d42c932509,4K,,,,
Robot Tank,Activision,NTSC,4f618c2429138e0280969193ed6c107e,FE,,,,
Roc 'n Rope,Coleco,NTSC,65bd29e8ab1b847309775b0de6b2e4fe,F8,,,,
Room of Doom,CommaVid,NTSC,67931b0d37dc99af250dd06f1c095e8d,4K,,,,
